OUTPUT usb_tx 	 location (22, 0, 1) 	 M9 	 
INPUT  usb_rx 	 location (33, 1, 1) 	 P14 	 
OUTPUT sr_latch 	 location (0, 16, 1) 	 H1 	 
OUTPUT sr_data 	 location (0, 16, 0) 	 H3 	 
OUTPUT sr_clk 	 location (0, 17, 1) 	 G3 	 
INPUT  rst_n 	 location (17, 0, 0) 	 P8 	 
OUTPUT last 	 location (0, 30, 0) 	 C1 	 
OUTPUT dout[6] 	 location (0, 30, 1) 	 B1 	 
OUTPUT dout[5] 	 location (0, 21, 0) 	 F3 	 
OUTPUT dout[4] 	 location (0, 21, 1) 	 F4 	 
OUTPUT dout[3] 	 location (0, 25, 0) 	 E1 	 
OUTPUT dout[2] 	 location (0, 25, 1) 	 D1 	 
OUTPUT dout[1] 	 location (0, 20, 0) 	 G4 	 
OUTPUT dout[0] 	 location (0, 22, 1) 	 D4 	 
INPUT  clk 	 location (16, 0, 1) 	 P7 	 
