@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MO111 :"/home/tumo/fpga-workspace/serialtest/work/verilog/cu_top_0.v":98:17:98:20|Tristate driver led_1 (in view: work.cu_top_0(verilog)) on net led[6] (in view: work.cu_top_0(verilog)) has its enable tied to GND.
@N: MO111 :"/home/tumo/fpga-workspace/serialtest/work/verilog/cu_top_0.v":98:17:98:20|Tristate driver led_2 (in view: work.cu_top_0(verilog)) on net led[5] (in view: work.cu_top_0(verilog)) has its enable tied to GND.
@N: MO111 :"/home/tumo/fpga-workspace/serialtest/work/verilog/cu_top_0.v":98:17:98:20|Tristate driver led_3 (in view: work.cu_top_0(verilog)) on net led[4] (in view: work.cu_top_0(verilog)) has its enable tied to GND.
@N: MO111 :"/home/tumo/fpga-workspace/serialtest/work/verilog/cu_top_0.v":98:17:98:20|Tristate driver led_4 (in view: work.cu_top_0(verilog)) on net led[3] (in view: work.cu_top_0(verilog)) has its enable tied to GND.
@N: MO111 :"/home/tumo/fpga-workspace/serialtest/work/verilog/cu_top_0.v":98:17:98:20|Tristate driver led_5 (in view: work.cu_top_0(verilog)) on net led[2] (in view: work.cu_top_0(verilog)) has its enable tied to GND.
@N: MT204 |Auto Constrain mode is disabled because clocks are defined in the SDC file
@N: MO225 :"/home/tumo/fpga-workspace/serialtest/work/verilog/uart_tx_4.v":99:2:99:7|There are no possible illegal states for state machine M_state_q[3:0] (in view: work.uart_tx_4(verilog)); safe FSM implementation is not required.
@N: FX1016 :"/home/tumo/fpga-workspace/serialtest/work/verilog/cu_top_0.v":8:10:8:12|SB_GB_IO inserted on the port clk.
@N: FX1017 :"/home/tumo/fpga-workspace/serialtest/work/verilog/reset_conditioner_1.v":29:2:29:7|SB_GB inserted on the net M_reset_cond_out[0].
@N: FX1017 :"/home/tumo/fpga-workspace/serialtest/work/verilog/cu_top_0.v":171:2:171:7|SB_GB inserted on the net N_508.
@N: FX1017 :|SB_GB inserted on the net N_169_0.
@N: BW103 |The default time unit for the Synopsys Constraint File (SDC or FDC) is 1ns.
@N: BW107 |Synopsys Constraint File capacitance units using default value of 1pF 
@N: FX1056 |Writing EDF file: /home/tumo/fpga-workspace/serialtest/work/alchitry_imp/cu_top_0.edf
@N: MT615 |Found clock clk_0 with period 10.00ns 
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
